symbol,company_name,yahoo,in_nifty50,in_nifty100,in_midcap100,in_smallcap100
DEVYANI,Devyani International Limited,DEVYANI.NS,0,0,0,1
DIVISLAB,Divi's Laboratories Limited,DIVISLAB.NS,0,1,0,0
DIXON,Dixon Technologies (India) Limited,DIXON.NS,0,0,1,0
DLF,DLF Limited,DLF.NS,0,1,0,0
DMART,Avenue Supermarts Limited,DMART.NS,0,1,0,0
DRREDDY,Dr. Reddy's Laboratories Limited,DRREDDY.NS,1,1,0,0
EICHERMOT,Eicher Motors Limited,EICHERMOT.NS,1,1,0,0
ENRIN,Siemens Energy India Limited,ENRIN.NS,0,1,0,0
ETERNAL,ETERNAL LIMITED,ETERNAL.NS,1,1,0,0
EXIDEIND,Exide Industries Limited,EXIDEIND.NS,0,0,1,0
FEDERALBNK,The Federal Bank  Limited,FEDERALBNK.NS,0,0,1,0
FIRSTCRY,Brainbees Solutions Limited,FIRSTCRY.NS,0,0,0,1
FIVESTAR,Five-Star Business Finance Limited,FIVESTAR.NS,0,0,0,1
FORTIS,Fortis Healthcare Limited,FORTIS.NS,0,0,1,0
FSL,Firstsource Solutions Limited,FSL.NS,0,0,0,1
GAIL,GAIL (India) Limited,GAIL.NS,0,1,0,0
GESHIP,The Great Eastern Shipping Company Limited,GESHIP.NS,0,0,0,1
GILLETTE,Gillette India Limited,GILLETTE.NS,0,0,0,1
GLAND,Gland Pharma Limited,GLAND.NS,0,0,0,1
GLENMARK,Glenmark Pharmaceuticals Limited,GLENMARK.NS,0,0,1,0
GMRAIRPORT,GMR AIRPORTS LIMITED,GMRAIRPORT.NS,0,0,1,0
GODFRYPHLP,Godfrey Phillips India Limited,GODFRYPHLP.NS,0,0,1,0
GODIGIT,Go Digit General Insurance Limited,GODIGIT.NS,0,0,0,1
GODREJCP,Godrej Consumer Products Limited,GODREJCP.NS,0,1,0,0
GODREJPROP,Godrej Properties Limited,GODREJPROP.NS,0,0,1,0
GRASIM,Grasim Industries Limited,GRASIM.NS,1,1,0,0
GRSE,Garden Reach Shipbuilders & Engineers Limited,GRSE.NS,0,0,0,1
HAL,Hindustan Aeronautics Limited,HAL.NS,0,1,0,0
HAVELLS,Havells India Limited,HAVELLS.NS,0,1,0,0
HBLENGINE,HBL Engineering Limited,HBLENGINE.NS,0,0,0,1
HCLTECH,HCL Technologies Limited,HCLTECH.NS,1,1,0,0
HDFCAMC,HDFC Asset Management Company Limited,HDFCAMC.NS,0,0,1,0
HDFCBANK,HDFC Bank Limited,HDFCBANK.NS,1,1,0,0
HDFCLIFE,HDFC Life Insurance Company Limited,HDFCLIFE.NS,1,1,0,0
HEROMOTOCO,Hero MotoCorp Limited,HEROMOTOCO.NS,0,0,1,0
HINDALCO,Hindalco Industries Limited,HINDALCO.NS,1,1,0,0
HINDCOPPER,Hindustan Copper Limited,HINDCOPPER.NS,0,0,0,1
HINDPETRO,Hindustan Petroleum Corporation Limited,HINDPETRO.NS,0,0,1,0
HINDUNILVR,Hindustan Unilever Limited,HINDUNILVR.NS,1,1,0,0
HINDZINC,Hindustan Zinc Limited,HINDZINC.NS,0,1,0,0
HSCL,Himadri Speciality Chemical Limited,HSCL.NS,0,0,0,1
HUDCO,Housing & Urban Development Corporation Limited,HUDCO.NS,0,0,1,0
HYUNDAI,Hyundai Motor India Limited,HYUNDAI.NS,0,1,0,0
ICICIBANK,ICICI Bank Limited,ICICIBANK.NS,1,1,0,0
ICICIGI,ICICI Lombard General Insurance Company Limited,ICICIGI.NS,0,1,0,0
IDEA,Vodafone Idea Limited,IDEA.NS,0,0,1,0
IDFCFIRSTB,IDFC First Bank Limited,IDFCFIRSTB.NS,0,0,1,0
IEX,Indian Energy Exchange Limited,IEX.NS,0,0,0,1
IFCI,IFCI Limited,IFCI.NS,0,0,0,1
IGIL,International Gemmological Institute (India) Limited,IGIL.NS,0,0,0,1
IGL,Indraprastha Gas Limited,IGL.NS,0,0,1,0
IIFL,IIFL Finance Limited,IIFL.NS,0,0,0,1
IKS,Inventurus Knowledge Solutions Limited,IKS.NS,0,0,0,1
INDHOTEL,The Indian Hotels Company Limited,INDHOTEL.NS,0,1,0,0
INDIANB,Indian Bank,INDIANB.NS,0,0,1,0
INDIGO,InterGlobe Aviation Limited,INDIGO.NS,1,1,0,0
INDUSINDBK,IndusInd Bank Limited,INDUSINDBK.NS,0,0,1,0
INDUSTOWER,Indus Towers Limited,INDUSTOWER.NS,0,0,1,0
INFY,Infosys Limited,INFY.NS,1,1,0,0
INOXWIND,Inox Wind Limited,INOXWIND.NS,0,0,0,1
IOC,Indian Oil Corporation Limited,IOC.NS,0,1,0,0
IRB,IRB Infrastructure Developers Limited,IRB.NS,0,0,1,0
IRCON,Ircon International Limited,IRCON.NS,0,0,0,1
IRCTC,Indian Railway Catering And Tourism Corporation Limited,IRCTC.NS,0,0,1,0
IREDA,Indian Renewable Energy Development Agency Limited,IREDA.NS,0,0,1,0
IRFC,Indian Railway Finance Corporation Limited,IRFC.NS,0,1,0,0
ITC,ITC Limited,ITC.NS,1,1,0,0
ITCHOTELS,ITC Hotels Limited,ITCHOTELS.NS,0,0,1,0
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM.NS,0,0,0,1
JBMA,JBM Auto Limited,JBMA.NS,0,0,0,1
JINDALSAW,Jindal Saw Limited,JINDALSAW.NS,0,0,0,1
JINDALSTEL,JINDAL STEEL LIMITED,JINDALSTEL.NS,0,1,0,0
JIOFIN,Jio Financial Services Limited,JIOFIN.NS,1,1,0,0
JSWENERGY,JSW Energy Limited,JSWENERGY.NS,0,1,0,0
JSWSTEEL,JSW Steel Limited,JSWSTEEL.NS,1,1,0,0
JUBLFOOD,Jubilant Foodworks Limited,JUBLFOOD.NS,0,0,1,0
JWL,Jupiter Wagons Limited,JWL.NS,0,0,0,1
JYOTICNC,Jyoti CNC Automation Limited,JYOTICNC.NS,0,0,0,1
KAJARIACER,Kajaria Ceramics Limited,KAJARIACER.NS,0,0,0,1
KALYANKJIL,Kalyan Jewellers India Limited,KALYANKJIL.NS,0,0,1,0
KARURVYSYA,Karur Vysya Bank Limited,KARURVYSYA.NS,0,0,0,1
KAYNES,Kaynes Technology India Limited,KAYNES.NS,0,0,0,1
KEC,KEC International Limited,KEC.NS,0,0,0,1
KEI,KEI Industries Limited,KEI.NS,0,0,1,0
KFINTECH,Kfin Technologies Limited,KFINTECH.NS,0,0,0,1
KOTAKBANK,Kotak Mahindra Bank Limited,KOTAKBANK.NS,1,1,0,0
KPIL,Kalpataru Projects International Limited,KPIL.NS,0,0,0,1
KPITTECH,KPIT Technologies Limited,KPITTECH.NS,0,0,1,0
LALPATHLAB,Dr. Lal Path Labs Ltd.,LALPATHLAB.NS,0,0,0,1
LAURUSLABS,Laurus Labs Limited,LAURUSLABS.NS,0,0,0,1
LICHSGFIN,LIC Housing Finance Limited,LICHSGFIN.NS,0,0,1,0
LICI,Life Insurance Corporation Of India,LICI.NS,0,1,0,0
LODHA,Lodha Developers Limited,LODHA.NS,0,1,0,0
LT,Larsen & Toubro Limited,LT.NS,1,1,0,0
LTF,L&T Finance Limited,LTF.NS,0,0,1,0
LTIM,LTIMindtree Limited,LTIM.NS,0,1,0,0
LUPIN,Lupin Limited,LUPIN.NS,0,0,1,0
M&M,Mahindra & Mahindra Limited,M&M.NS,1,1,0,0
M&MFIN,Mahindra & Mahindra Financial Services Limited,M&MFIN.NS,0,0,1,0
MANAPPURAM,Manappuram Finance Limited,MANAPPURAM.NS,0,0,0,1
MANKIND,Mankind Pharma Limited,MANKIND.NS,0,0,1,0
MARICO,Marico Limited,MARICO.NS,0,0,1,0
